Date,AAPL,BA,CAT,DD,GE,IBM,MSFT,VZ
1/31/2006,0.05035466,-0.027477229,0.180036187,-0.078823493,-0.065620539,-0.010948827,0.076481848,0.064762656
2/28/2006,-0.092967797,0.068600054,0.076288676,0.037273762,0.011178786,-0.010559962,-0.042236151,0.064434622
3/31/2006,-0.084245858,0.072086913,-0.017378284,0.048956189,0.058107698,0.027791668,0.012653479,0.010682274
4/30/2006,0.12228963,0.07083275,0.058077368,0.044776116,-0.005462858,-0.001576388,-0.112458643,-0.018700874
5/31/2006,-0.150873826,0.001016347,-0.03683656,-0.027730822,-0.009540409,-0.026124977,-0.058454549,-0.055101534
6/30/2006,-0.041826858,-0.016096053,0.02097337,-0.021866894,-0.030748386,-0.038548207,0.028697558,0.073053709
7/31/2006,0.186659582,-0.054816327,-0.044325665,-0.046634574,-0.008191748,0.007680331,0.032618026,0.022290911
8/31/2006,-0.001618618,-0.028821576,-0.063778811,0.017317057,0.04190892,0.05016056,0.072096445,0.040212571
9/30/2006,0.134561532,0.052736932,-0.008289315,0.071803757,0.043858147,0.011979752,0.06420235,0.055429232
10/31/2006,0.053260615,0.012809166,-0.073331378,0.069094313,-0.005382398,0.126800085,0.04972572,0.007285654
11/30/2006,0.130488423,0.112498449,0.021742717,0.032751165,0.004841851,-0.001210044,0.026136449,-0.019744738
12/31/2006,-0.074405446,0.003501601,-0.011284822,0.037928804,0.062503411,0.056897331,0.017029974,0.065826978
1/31/2007,0.010490367,0.008104479,0.049933911,0.01745028,-0.031174422,0.020586722,0.03348962,0.045701591
2/28/2007,-0.013064246,-0.021918393,0.00561885,0.031073488,-0.024012657,-0.059807537,-0.084002722,-0.029075756
3/31/2007,0.098097031,0.018909018,0.040353854,-0.025625879,0.012890333,0.014202714,-0.010649612,0.013903949
4/30/2007,0.074157836,0.046001541,0.088101202,-0.005259991,0.042420787,0.084341146,0.074273412,0.017697428
5/31/2007,0.214328642,0.085646158,0.082071021,0.071900001,0.019533406,0.04701053,0.028370694,0.140125535
6/30/2007,0.007013861,-0.044040088,-0.003563217,-0.02828751,0.025979625,-0.012664154,-0.039752402,-0.054215486
7/31/2007,0.079645944,0.075603126,0.010593071,-0.080841833,0.012539181,0.051306425,-0.016287772,0.04530441
8/31/2007,0.051001896,-0.061887293,-0.038451863,0.051231947,0.002837988,0.058315335,-0.005494917,-0.017362614
9/30/2007,0.108246615,0.085729071,0.035106296,0.016615445,0.072276694,0.009512391,0.025408948,0.057306541
10/31/2007,0.237701173,-0.060958192,-0.044244886,-0.001008915,-0.005797159,-0.014261464,0.24949091,0.050368801
11/30/2007,-0.040694874,-0.057990518,-0.036322195,-0.059628535,-0.069727848,-0.091000025,-0.084186728,-0.062079415
12/31/2007,0.087037572,-0.054895194,0.009179353,-0.044637096,-0.023585117,0.02776191,0.059523818,0.011108516
1/31/2008,-0.316639713,-0.048936646,-0.016126272,0.024722138,-0.046128917,-0.009158162,-0.084269639,-0.102334047
2/29/2008,-0.076388878,0.000208909,0.018875961,0.036464078,-0.054250243,0.067083566,-0.162402148,-0.064640729
3/31/2008,0.147816303,-0.101703077,0.082400094,0.007324448,0.11677731,0.01124187,0.043382299,0.003579311
4/30/2008,0.212195158,0.141051465,0.050641629,0.045979477,-0.116454962,0.048289022,0.004933096,0.07293889
5/31/2008,0.085081861,-0.020079002,0.009281899,-0.012277764,-0.0605505,0.076711356,-0.00335712,-0.000259921
6/30/2008,-0.112900612,-0.205992458,-0.106727965,-0.104779867,-0.121531321,-0.084215366,-0.028601704,-0.07980244
7/31/2008,-0.050704684,-0.070146087,-0.052608189,0.021450254,0.059947554,0.0797267,-0.065067247,-0.026604529
8/31/2008,0.066561722,0.079441839,0.01740517,0.023544868,-0.006716151,-0.045131007,0.065273905,0.031727419
9/30/2008,-0.329558176,-0.125228785,-0.157359041,-0.093159347,-0.080337961,-0.039185114,-0.021986067,-0.086275482
10/31/2008,-0.053404911,-0.085963401,-0.352595531,-0.204962708,-0.234901932,-0.205112839,-0.163357064,-0.060452957
11/30/2008,-0.13867459,-0.180648473,0.073036652,-0.206541343,-0.119938496,-0.117390866,-0.088357519,0.100438166
12/31/2008,-0.078989982,0.000938255,0.089777909,0.009577057,-0.038349515,0.031372626,-0.038575606,0.038284752
1/31/2009,0.056004716,-0.008436773,-0.301929087,-0.092490156,-0.25123462,0.088997114,-0.120370418,-0.106012036
2/28/2009,-0.009097991,-0.249423566,-0.202269012,-0.168524506,-0.277818908,0.009608836,-0.049079933,-0.044860992
3/31/2009,0.177023871,0.131679447,0.13612345,0.190298447,0.188014086,0.052808878,0.137461408,0.058535048
4/30/2009,0.197012917,0.125632291,0.288926889,0.249440192,0.251236469,0.065228607,0.102885061,0.018824538
5/31/2009,0.079313378,0.130857413,-0.003372741,0.035533824,0.065612556,0.035123743,0.037643969,-0.035596509
6/30/2009,0.048744577,-0.052396857,-0.068245855,-0.100105382,-0.123407893,-0.017500952,0.137865084,0.050239273
7/31/2009,0.147160013,0.009647058,0.35029405,0.207259974,0.143344726,0.129381372,-0.010517461,0.060057266
8/31/2009,0.029499987,0.168653886,0.028370391,0.045326204,0.037313427,0.005686444,0.053937093,-0.032117386
9/30/2009,0.101896403,0.090195364,0.132862512,0.006576821,0.188284866,0.013214713,0.04340769,-0.024806549
10/31/2009,0.016994908,-0.117266884,0.080437358,-0.009956386,-0.1315469,0.008360513,0.078149341,-0.00682763
11/30/2009,0.060530481,0.106101773,0.060479443,0.09976597,0.123422189,0.052292951,0.065272296,0.063196929
12/31/2009,0.054124377,0.032818181,-0.023976665,-0.026315882,-0.049414817,0.03601104,0.036382151,0.053083119
1/31/2010,-0.088596802,0.119527015,-0.077094032,-0.031481953,0.062789159,-0.065011422,-0.075459299,-0.099148538
2/28/2010,0.0653962,0.04935973,0.09207499,0.047095386,0.004990667,0.043620765,0.022145787,-0.016655121
3/31/2010,0.148470432,0.149620018,0.101665176,0.104389084,0.133250339,0.008571855,0.021625418,0.072243473
4/30/2010,0.111021236,-0.002478987,0.090131087,0.069817372,0.036263777,0.005847952,0.042676699,-0.053939925
5/31/2010,-0.016124692,-0.108760623,-0.107651614,-0.082242516,-0.133085907,-0.024015071,-0.151394375,-0.047750587
6/30/2010,-0.02082688,-0.022281088,-0.011356134,-0.04368257,-0.112443085,-0.014210434,-0.108139494,0.018168344
7/31/2010,0.022740819,0.085896404,0.168878149,0.175773366,0.117891867,0.039844431,0.121686211,0.125900755
8/31/2010,-0.05500482,-0.097425153,-0.065806404,0.01230088,-0.101737078,-0.036291882,-0.085811757,0.016173476
9/30/2010,0.167215077,0.088499912,0.207489183,0.094432178,0.130540216,0.089417705,0.043459748,0.103623442
10/31/2010,0.060722478,0.06161704,0.004485891,0.059614507,-0.014153866,0.070523382,0.089015952,0.011326156
11/30/2010,0.03378966,-0.0917872,0.076335881,0.002499442,-0.011860205,-0.010524941,-0.0470488,-0.014470478
12/31/2010,0.036670426,0.023365239,0.107092257,0.061502467,0.164509094,0.037466331,0.104908941,0.117775713
1/31/2011,0.051959268,0.064664433,0.040638157,0.016038444,0.101148102,0.103843053,-0.006449333,0.008594165
2/28/2011,0.040934839,0.042434823,0.061024621,0.090908028,0.045917332,0.003215704,-0.035805821,0.036496307
3/31/2011,-0.013306536,0.026662938,0.081803154,0.001822565,-0.041587055,0.007351138,-0.044770529,0.043878754
4/30/2011,0.004648327,0.079128897,0.040777841,0.033108927,0.019950201,0.046053808,0.020874363,-0.007095142
5/31/2011,-0.006569,-0.016770149,-0.083268354,-0.054518683,-0.039608877,-0.005244188,-0.028783478,-0.02249862
6/30/2011,-0.034959556,-0.052543874,0.006238154,0.014071267,-0.03181763,0.015509445,0.03958417,0.008123434
7/31/2011,0.163285319,-0.046801016,-0.068126113,-0.048658676,-0.050371191,0.060040822,0.053846124,-0.039717723
8/31/2011,-0.014469326,-0.044792,-0.078854142,-0.052595576,-0.089335608,-0.050543842,-0.023069687,0.024936157
9/30/2011,-0.009120937,-0.094974606,-0.188571474,-0.171949425,-0.057880313,0.017218264,-0.064285744,0.017417783
10/31/2011,0.061523129,0.087258354,0.286333762,0.202651832,0.097897441,0.055812944,0.069907609,0.018887012
11/30/2011,-0.055783399,0.050736954,0.036205788,0.001345789,-0.047875444,0.022345982,-0.032195981,0.020281223
12/31/2011,0.05965467,0.067840951,-0.074376784,-0.040653856,0.136629998,-0.021914866,0.014855309,0.063344809
1/31/2012,0.127111049,0.011315634,0.209798726,0.111620829,0.044667743,0.047422236,0.137519345,-0.049106304
2/29/2012,0.18831065,0.016326706,0.046645856,0.007287925,0.027177805,0.025420946,0.081915037,0.011949041
3/31/2012,0.105283507,-0.007738413,-0.067332128,0.040314758,0.053543306,0.060590651,0.016383072,0.003148758
4/30/2012,-0.025969512,0.032674475,-0.03112367,0.010585937,-0.024414534,-0.007524524,-0.00743948,0.070176855
5/31/2012,-0.010702377,-0.088299543,-0.147416511,-0.089744686,-0.025025521,-0.064573599,-0.082400512,0.03120353
6/30/2012,0.010852815,0.067375404,-0.030928996,0.04786576,0.104062137,0.013893251,0.047961604,0.06724302
7/31/2012,0.045821877,-0.005248984,-0.001907794,-0.017203862,-0.00431864,0.002045166,-0.036613296,0.027192786
8/31/2012,0.093876854,-0.028166927,0.013300112,0.00950422,-0.001927733,-0.001520774,0.052737551,-0.04873727
9/30/2012,0.00279601,-0.025210127,0.008320629,0.010452282,0.104946189,0.064665076,-0.034393252,0.061248267
10/31/2012,-0.10760008,0.012069024,-0.008343209,-0.114382364,-0.072655205,-0.062280062,-0.040994602,-0.00961577
11/30/2012,-0.012374561,0.060996513,0.005070158,-0.021239068,0.003323811,-0.018650877,-0.059609605,-0.011648754
12/31/2012,-0.090742889,0.014539606,0.057322838,0.042651817,0.00243982,0.007786582,0.00338084,-0.019265618
1/31/2013,-0.144089281,-0.01977173,0.097980118,0.05491331,0.061457854,0.060140977,0.027705014,0.019607445
2/28/2013,-0.025285985,0.047704895,-0.061185045,0.018612534,0.050718034,-0.00686796,0.02113536,0.066957092
3/31/2013,0.002854561,0.116384874,-0.058460547,0.026304852,-0.004306569,0.062092321,0.029136743,0.056307797
4/30/2013,0.000271036,0.064764185,-0.020192119,0.108828231,-0.035899622,-0.050445426,0.15693803,0.108363851
5/31/2013,0.022419293,0.088822244,0.013345994,0.031854432,0.046208994,0.031870423,0.061774321,-0.100723422
6/30/2013,-0.118293232,0.034538541,-0.038578152,-0.058971121,0.002367482,-0.081290274,-0.010315202,0.038366333
7/31/2013,0.141225068,0.02596638,0.012098207,0.098857079,0.05088401,0.02056403,-0.078170267,-0.007116311
8/31/2013,0.083766761,-0.006726887,-0.004462695,-0.011115896,-0.05047195,-0.060802034,0.056386826,-0.042441353
9/30/2013,-0.021489336,0.13067747,0.01041919,0.034263558,0.040362702,0.015965262,-0.003592884,-0.014985289
10/31/2013,0.096381741,0.110638295,0.006520588,0.045081971,0.094181627,-0.032238827,0.06400242,0.094546918
11/30/2013,0.070052711,0.032484657,0.014875223,0.010267834,0.019892913,0.008006885,0.084981038,-0.01762026
12/31/2013,0.008901793,0.016685327,0.073404244,0.058488098,0.05989493,0.043911485,-0.01888281,-0.009673504
1/31/2014,-0.107696739,-0.08227711,0.040895647,-0.060951229,-0.103460639,-0.058058401,0.011494267,-0.012172359
2/28/2014,0.05751083,0.035024099,0.032584362,0.099649197,0.022384932,0.053798581,0.020012505,-0.009162814
3/31/2014,0.019952875,-0.02660565,0.024749933,0.007204933,0.01649001,0.039531282,0.069955642,-0.000210218
4/30/2014,0.099396369,0.028129788,0.066927697,0.003278748,0.038624954,0.020676376,-0.014393748,-0.006718053
5/31/2014,0.078709291,0.05416904,-0.030075887,0.036399658,-0.003718791,-0.056174558,0.020515239,0.069120468
6/30/2014,0.0276619,-0.059297568,0.062995159,-0.055835966,-0.010945041,-0.016760664,0.018563806,-0.020616483
7/31/2014,0.028731292,-0.053053524,-0.067018621,-0.017267788,-0.042998528,0.057372943,0.035011976,0.041547531
8/31/2014,0.077508844,0.058830588,0.082580645,0.035420218,0.033001997,0.009220405,0.059169284,-0.01190002
9/30/2014,-0.017073171,0.00457408,-0.092050991,0.085463583,-0.005528511,-0.012844521,0.020471057,0.003412331
10/31/2014,0.071960302,-0.019390747,0.031834011,-0.036371195,0.007415997,-0.133962009,0.01272649,0.016453991
11/30/2014,0.105978719,0.081930723,-0.007987435,0.039437143,0.026346393,-0.006813085,0.024740135,0.006766165
12/31/2014,-0.071891052,-0.032599025,-0.090159038,0.035574336,-0.037074005,-0.010667793,-0.028445934,-0.075311358
1/31/2015,0.061424232,0.118402828,-0.119133307,-0.036921898,-0.054610256,-0.044440318,-0.130247558,-0.011313091
2/28/2015,0.100776612,0.044115187,0.036638731,0.100049956,0.097903643,0.063700889,0.09312029,0.081820204
3/31/2015,-0.031371685,-0.005104436,-0.03462005,-0.081952418,-0.045402076,-0.008892196,-0.072747967,-0.016582383
4/30/2015,0.005786394,-0.044909417,0.094590171,0.024205795,0.091495379,0.067227372,0.196261656,0.048928925
5/31/2015,0.045339013,-0.013391102,-0.017955776,-0.02352547,0.00701628,-0.002079009,-0.030334235,-0.019825541
6/30/2015,-0.037227501,-0.012809585,-0.005860298,-0.099422632,-0.017381712,-0.04120242,-0.057831828,-0.057241067
7/31/2015,-0.032926713,0.039287756,-0.064418183,-0.081856452,-0.017689103,-0.004119012,0.057757633,0.015684666
8/31/2015,-0.066196163,-0.087786955,-0.027851903,-0.069777989,-0.049042146,-0.079463642,-0.061948911,-0.016670283
9/30/2015,-0.02181624,0.002066143,-0.144950304,-0.064077659,0.025209621,-0.019744391,0.017003615,-0.054336018
10/31/2015,0.083408853,0.130737004,0.129218216,0.315352712,0.146708989,-0.033731112,0.189335785,0.091449642
11/30/2015,-0.005804233,-0.011620913,-0.004658135,0.068224484,0.035269721,0.0046244,0.039444073,-0.030503432
12/31/2015,-0.110228234,-0.005912687,-0.064556122,-0.010988991,0.048196164,-0.012910653,0.020791177,0.0169417
1/31/2016,0.060722478,0.06161704,0.004485891,0.059614507,-0.014153866,0.070523382,0.089015952,0.011326156
2/29/2016,0.03378966,-0.0917872,0.076335881,0.002499442,-0.011860205,-0.010524941,-0.0470488,-0.014470478
3/31/2016,0.036670426,0.023365239,0.107092257,0.061502467,0.164509094,0.037466331,0.104908941,0.117775713
4/30/2016,0.051959268,0.064664433,0.040638157,0.016038444,0.101148102,0.103843053,-0.006449333,0.008594165
5/31/2016,0.040934839,0.042434823,0.061024621,0.090908028,0.045917332,0.003215704,-0.035805821,0.036496307
6/30/2016,-0.013306536,0.026662938,0.081803154,0.001822565,-0.041587055,0.007351138,-0.044770529,0.043878754
7/31/2016,0.004648327,0.079128897,0.040777841,0.033108927,0.019950201,0.046053808,0.020874363,-0.007095142
8/31/2016,-0.006569,-0.016770149,-0.083268354,-0.054518683,-0.039608877,-0.005244188,-0.028783478,-0.02249862
9/30/2016,-0.034959556,-0.052543874,0.006238154,0.014071267,-0.03181763,0.015509445,0.03958417,0.008123434
10/31/2016,0.163285319,-0.046801016,-0.068126113,-0.048658676,-0.050371191,0.060040822,0.053846124,-0.039717723
11/30/2016,-0.014469326,-0.044792,-0.078854142,-0.052595576,-0.089335608,-0.050543842,-0.023069687,0.024936157
12/31/2016,-0.009120937,-0.094974606,-0.188571474,-0.171949425,-0.057880313,0.017218264,-0.064285744,0.017417783
